"","block.address","Vacant_Pr","Occupied_Pr","NumofBuilding","SURA","Units","YearBuilt","AssessedVa","Aggravated.assault","Arson","Burglary","Larceny","Murder","Robbery","Vehicle.theft","Total"
"100 block englert av","100 block englert av",0,1,15,0,1,1962.53333333333,83273.3333333333,0,0,0,0,0,0,0,0
"100 block englewood av","100 block englewood av",0,1,2,2,1,1961,66900,0,0,0,0,0,0,0,0
"100 block erickson st","100 block erickson st",0.0869565217391304,0.91304347826087,23,0,1,1943.30434782609,69900,0,0,0,23,0,0,0,23
"100 block erie st","100 block erie st",0.0769230769230769,0.923076923076923,13,13,1.30769230769231,1898.69230769231,68700,0,0,0,0,0,0,0,0
"100 block essex st","100 block essex st",0,1,12,12,2.08333333333333,1913.41666666667,68066.6666666667,0,0,0,0,0,0,0,0
"100 block ethel av","100 block ethel av",0,1,3,0,1,1944.66666666667,62333.3333333333,0,0,0,0,0,0,0,0
"100 block euclid terr","100 block euclid terr",0,1,13,0,1.07692307692308,1922.53846153846,116830.769230769,0,0,0,0,0,0,0,0
"100 block eureka st","100 block eureka st",0.0416666666666667,0.958333333333333,24,24,1.625,1922.83333333333,42145.8333333333,0,0,0,72,0,0,24,96
"100 block fage av","100 block fage av",0.28,0.72,25,25,1.56,1916.36,38752,0,0,25,0,0,25,0,50
"100 block fairdale av","100 block fairdale av",0,1,5,0,1,1954.2,65640,0,0,0,0,0,0,0,0
"100 block fairfield av","100 block fairfield av",0.0952380952380952,0.904761904761905,21,20,1.47619047619048,1923.80952380952,49004.7619047619,0,0,0,0,0,0,0,0
"100 block fairview av","100 block fairview av",0.166666666666667,0.833333333333333,6,6,2.16666666666667,1931.66666666667,62133.3333333333,0,0,6,0,0,0,0,6
"100 block farmer st","100 block farmer st",0,1,2,2,1,1925,41500,0,0,0,0,0,0,0,0
"100 block fayette blvd","100 block fayette blvd",0,1,34,0,1,1932.88235294118,61723.5294117647,0,0,0,0,0,0,0,0
"100 block feigel av","100 block feigel av",0.125,0.875,16,0,1,1953.0625,88962.5,0,0,0,16,0,0,0,16
"100 block fellows av","100 block fellows av",0.03125,0.96875,32,0,1.375,1922.40625,73690.625,0,0,0,160,0,0,0,160
"100 block fenton st","100 block fenton st",0.125,0.875,16,16,1.375,1902.5625,35168.75,0,0,16,16,0,0,16,48
"100 block fenway dr","100 block fenway dr",0,1,23,23,1.08695652173913,1944.21739130435,59313.0434782609,0,0,23,23,0,0,0,46
"100 block ferndale dr","100 block ferndale dr",0,1,5,5,1,1958.2,63360,0,0,0,0,0,0,0,0
"100 block fernwood av","100 block fernwood av",0.0714285714285714,0.928571428571429,28,28,1.57142857142857,1924.96428571429,39725,84,0,28,28,0,28,0,168
"100 block ferris av","100 block ferris av",0,1,19,0,1.05263157894737,1910.52631578947,85173.6842105263,0,0,0,0,0,0,0,0
"100 block fillmore av","100 block fillmore av",0,1,15,15,1.06666666666667,1944.93333333333,59473.3333333333,15,0,15,0,0,0,0,30
"100 block first north st","100 block first north st",0.1,0.9,10,10,1.3,1918.5,56580,0,0,0,0,0,0,0,0
"100 block fiscoe av","100 block fiscoe av",0.032258064516129,0.967741935483871,31,0,1,1948.77419354839,61103.2258064516,0,0,0,31,0,0,0,31
"100 block fiscoe av n side","100 block fiscoe av n side",0,1,1,0,1,1940,70700,0,0,0,0,0,0,0,0
"100 block fish av","100 block fish av",0,1,4,4,1,1935,51475,0,0,0,4,0,0,0,4
"100 block fitch st","100 block fitch st",0.4,0.6,25,25,1.68,1905.8,31712,0,0,0,0,0,0,0,0
"100 block floral pkwy","100 block floral pkwy",0,1,2,2,1,1954,49050,0,0,0,0,0,0,0,0
"100 block florence av e","100 block florence av e",0,1,1,1,1,1950,60000,0,0,0,0,0,0,0,0
"100 block florence av w","100 block florence av w",0.0645161290322581,0.935483870967742,31,31,1.03225806451613,1955.93548387097,56580.6451612903,0,0,31,0,0,0,0,31
"100 block fobes av","100 block fobes av",0,1,12,0,1.33333333333333,1931.41666666667,51725,12,0,0,0,0,0,12,24
"100 block ford av","100 block ford av",0,1,6,6,2,1918.33333333333,52866.6666666667,6,0,0,0,0,6,0,12
"100 block fordham rd","100 block fordham rd",0,1,3,0,71,1950,1391000,0,0,0,3,0,0,6,9
"100 block fordland av","100 block fordland av",0,1,5,0,1,1931.2,72380,0,0,0,0,0,0,0,0
"100 block forest av","100 block forest av",0.185185185185185,0.814814814814815,27,27,1.37037037037037,1913.48148148148,33014.8148148148,0,0,0,0,0,0,0,0
"100 block forest hill dr","100 block forest hill dr",0,1,29,0,1.41379310344828,1923.20689655172,87544.8275862069,0,0,0,0,0,0,0,0
"100 block fountain st","100 block fountain st",0,1,15,15,1.06666666666667,1898.93333333333,40513.3333333333,0,0,0,0,0,0,0,0
"100 block fourth north st","100 block fourth north st",0,1,6,0,1.66666666666667,1900,53250,0,0,0,0,0,0,0,0
"100 block foxboro rd","100 block foxboro rd",0,1,8,0,1,1931.5,65375,0,0,0,0,0,0,0,0
"100 block furman st","100 block furman st",0.2,0.8,5,5,2,1917,33560,0,0,5,5,0,0,0,10
"100 block gale av","100 block gale av",0,1,2,0,2,1915,59000,0,0,0,0,0,0,0,0
"100 block gannett av","100 block gannett av",0,1,3,0,2.66666666666667,1930,77000,0,0,0,0,0,0,0,0
"100 block garfield av","100 block garfield av",0,1,3,3,1.66666666666667,1901,34666.6666666667,0,0,0,0,0,0,0,0
"100 block garfield pl","100 block garfield pl",0,1,1,1,2,1920,39000,0,0,0,0,0,0,0,0
"100 block gary av","100 block gary av",0,1,3,0,1,1956.66666666667,73966.6666666667,0,0,0,0,0,0,0,0
"100 block gebhardt av","100 block gebhardt av",0,1,5,5,1.8,1897,38860,0,0,0,0,0,0,0,0
"100 block geddes st n","100 block geddes st n",0.4,0.6,5,5,2,1898,39760,5,0,5,5,0,0,5,20
"100 block genesee pk dr","100 block genesee pk dr",0,1,19,19,1.15789473684211,1946.36842105263,56263.1578947368,0,0,0,0,0,0,0,0
"100 block genesee pkwy e","100 block genesee pkwy e",0,1,4,0,1,1943.5,132500,0,0,0,0,0,0,4,4
"100 block gere av","100 block gere av",0.181818181818182,0.818181818181818,11,11,1.36363636363636,1912.72727272727,48363.6363636364,0,0,0,0,0,0,0,0
"100 block gertrude st","100 block gertrude st",0.0454545454545455,0.954545454545455,22,22,1.90909090909091,1889.77272727273,54586.3636363636,22,0,0,44,0,0,0,66
